content,score,source,app,clean_review,sentiment_score,sentiment_label,cluster
In kota centre they not provide the elp of class 11th...and every teacher give the home work..... and I m very disappointed to see this type of service of Unacademy..... staff says printing of elp is processing.....no one tell the fix date of elp...... and I m learner of Unacademy.... and same issue with Unacademy t shirt...... plz no one join the Unacademy. ...,1,PlayStore,Unacademy,in kota centre they not provide the elp of class thand every teacher give the home work and i m very disappointed to see this type of service of unacademy staff says printing of elp is processingno one tell the fix date of elp and i m learner of unacademy and same issue with unacademy t shirt plz no one join the unacademy ,-0.4754,Negative,2
"I am extremely disappointed with Unacademy's approach towards user engagement. I downloaded and explored the app just once out of curiosity. Ever since then, I’ve been getting continuous calls from different numbers, all trying to convince me to purchase a subscription. Despite clearly telling them that I’m not interested, the calls keep coming almost daily — and not just one or two, but from multiple numbers.",1,PlayStore,Unacademy,i am extremely disappointed with unacademys approach towards user engagement i downloaded and explored the app just once out of curiosity ever since then ive been getting continuous calls from different numbers all trying to convince me to purchase a subscription despite clearly telling them that im not interested the calls keep coming almost daily  and not just one or two but from multiple numbers,-0.2393,Negative,2
this learning platform is not good because the teachers does not teach the topic properly and the teachers teach the random chapter and chapters they won't even do,1,PlayStore,Unacademy,this learning platform is not good because the teachers does not teach the topic properly and the teachers teach the random chapter and chapters they wont even do,-0.3412,Negative,2
This app is literally soo .... irritating I downloaded this app and added my details ( phone no ) and I think that was my worst mistake they literally called me at least 2-3 times a day and honestly for a aspirant it's really so disturbing that I can't tell you . Sometimes I genuinely felt destroying my phone sim card . I request with your team that please stop calling the same students 100 times if he/she is not responding and blocking the numbers it's a humble request from my side.,1,PlayStore,Unacademy,this app is literally soo  irritating i downloaded this app and added my details  phone no  and i think that was my worst mistake they literally called me at least  times a day and honestly for a aspirant its really so disturbing that i cant tell you  sometimes i genuinely felt destroying my phone sim card  i request with your team that please stop calling the same students  times if heshe is not responding and blocking the numbers its a humble request from my side,-0.9393,Negative,2
"Unacademy has become a mess. Classes vanishes from the planner, tests have wrong answers and there are no Organic Chemistry classes in the Nimbus NEET UG batch. The new smart board system lags constantly. The app keeps removing useful features with each update. Many basic feature just don’t work. Customer care is a nightmare. Honestly, only the educators make this app tolerable. Without them, the subscription wouldn't be worth a rupee.",1,PlayStore,Unacademy,unacademy has become a mess classes vanishes from the planner tests have wrong answers and there are no organic chemistry classes in the nimbus neet ug batch the new smart board system lags constantly the app keeps removing useful features with each update many basic feature just dont work customer care is a nightmare honestly only the educators make this app tolerable without them the subscription wouldnt be worth a rupee,-0.6116,Negative,2
"bad experience, price of batches is high then other platform.",1,PlayStore,Unacademy,bad experience price of batches is high then other platform,-0.5423,Negative,1
sometimes it's not open please fix it,1,PlayStore,Unacademy,sometimes its not open please fix it,-0.2411,Negative,2
most fraud institute they are play education nd they does npt provide refund policy,1,PlayStore,Unacademy,most fraud institute they are play education nd they does npt provide refund policy,-0.4005,Negative,2
a extremely good app. but the video lags a lot ahd get stucked when the educator takes class on smart board. i dont know why but only the video stucks on when the class is taken on smartboard which somehow ruin the full day. please continue on pen tab only,3,PlayStore,Unacademy,a extremely good app but the video lags a lot ahd get stucked when the educator takes class on smart board i dont know why but only the video stucks on when the class is taken on smartboard which somehow ruin the full day please continue on pen tab only,-0.2152,Negative,2
"These app is very bad. In downloaded lecture I can't able to shape writting which are written by tools. Here teachers say ""if any student study from ppt then he/she can't able to feel the topic and all the concept will be forgotten with some days"" but the support the teaching way where teacher are sit on a chair and then write on tab and students will see the teachers in a very small frame(it is so problematic for phone using students). PW produce better results in online but they told opposite.",1,PlayStore,Unacademy,these app is very bad in downloaded lecture i cant able to shape writting which are written by tools here teachers say if any student study from ppt then heshe cant able to feel the topic and all the concept will be forgotten with some days but the support the teaching way where teacher are sit on a chair and then write on tab and students will see the teachers in a very small frameit is so problematic for phone using students pw produce better results in online but they told opposite,-0.1427,Negative,2
very bad offline,1,PlayStore,Unacademy,very bad offline,-0.6779,Negative,1
Teachers are good but management is so bad,1,PlayStore,Unacademy,teachers are good but management is so bad,-0.742,Negative,1
stop calling scammers,1,PlayStore,Unacademy,stop calling scammers,-0.296,Negative,2
bakwaas aap hai yee please stop calling us thousand times even though we block your numbers please stop calling uss unnecessarily 🙏,1,PlayStore,Unacademy,bakwaas aap hai yee please stop calling us thousand times even though we block your numbers please stop calling uss unnecessarily ,-0.4019,Negative,2
class recording are way too bad on mobiles,1,PlayStore,Unacademy,class recording are way too bad on mobiles,-0.5423,Negative,1
worst edtech platformm...i am a neet aspirant before taking iconic batch they promise me every offline batch recording will be available ...but they are not providing any and my 15000 money seems to be completely goes in vein....,1,PlayStore,Unacademy,worst edtech platformmi am a neet aspirant before taking iconic batch they promise me every offline batch recording will be available but they are not providing any and my  money seems to be completely goes in vein,-0.2846,Negative,2
"You will go for admission, then they will talk nicely to you, motivate you a lot and will make you deposit the entire money, after that you will be trapped and after that you will not be able to cancel the admission They will say go to App and generate ticket, after that your ticket will be generated, then they will tell you further how to do it, I tried everything but no ticket is generated That means your money is completely wasted. Whatever they say before taking admission, they are all lies.",1,PlayStore,Unacademy,you will go for admission then they will talk nicely to you motivate you a lot and will make you deposit the entire money after that you will be trapped and after that you will not be able to cancel the admission they will say go to app and generate ticket after that your ticket will be generated then they will tell you further how to do it i tried everything but no ticket is generated that means your money is completely wasted whatever they say before taking admission they are all lies,-0.904,Negative,2
"VERY BAD APP EXPERIENCE!! THE APP DOESN'T WORK PROPERLY!! For eg,If I open this app 10 times then out 10 times there is a rare chance that 1 time it will work properly other wise all 9 times and usually 10 times all it doesn't work properly. It hangs while running. It closes automatically. Usually I doesn't opens also. OVERALL, It requires very much work to be done on it. The Company Should see into this matter for learners/Customers better experience atleast more than a worst experience .",1,PlayStore,Unacademy,very bad app experience the app doesnt work properly for egif i open this app  times then out  times there is a rare chance that  time it will work properly other wise all  times and usually  times all it doesnt work properly it hangs while running it closes automatically usually i doesnt opens also overall it requires very much work to be done on it the company should see into this matter for learnerscustomers better experience atleast more than a worst experience ,-0.2608,Negative,2
what a bad experience,1,PlayStore,Unacademy,what a bad experience,-0.5423,Negative,1
spam calls too many absolutely don't give your number,1,PlayStore,Unacademy,spam calls too many absolutely dont give your number,-0.4063,Negative,2
not such useful app,1,PlayStore,Unacademy,not such useful app,-0.3412,Negative,2
playspeed button disappear my downloads video not works properly. even the video is so confusing coz everything is write on just one place. i hate it . please please fix this promblem,2,PlayStore,Unacademy,playspeed button disappear my downloads video not works properly even the video is so confusing coz everything is write on just one place i hate it  please please fix this promblem,-0.541,Negative,2
"worst app,, it takes too much time to open,sometimes about an hour I had purchased a course of 17000 but not able to study even 17 minutes, but I take lecture of same faculty on youtube conveniently.",1,PlayStore,Unacademy,worst app it takes too much time to opensometimes about an hour i had purchased a course of  but not able to study even  minutes but i take lecture of same faculty on youtube conveniently,-0.3716,Negative,3
fraud never purchase again,1,PlayStore,Unacademy,fraud never purchase again,-0.5859,Negative,2
I do not know whether it is your new update or a glitch. I am not happy with it. I am not able to download the previous lecture and because of this I am facing problem in attending the class. If it is not downloadable then why is an option given? fix it asap,1,PlayStore,Unacademy,i do not know whether it is your new update or a glitch i am not happy with it i am not able to download the previous lecture and because of this i am facing problem in attending the class if it is not downloadable then why is an option given fix it asap,-0.6906,Negative,0
this classes are useless.they are fake,1,PlayStore,Unacademy,this classes are uselessthey are fake,-0.4767,Negative,2
disgusting app. difficult to use,1,PlayStore,Unacademy,disgusting app difficult to use,-0.7096,Negative,2
"call support very much bad 😭, too bad app ,my money is waste since ye apni galti mante nhi hai sari classes time se pehle hi uda dete hai",1,PlayStore,Unacademy,call support very much bad  too bad app my money is waste since ye apni galti mante nhi hai sari classes time se pehle hi uda dete hai,-0.8251,Negative,1
very bad attitude of cs faculty,1,PlayStore,Unacademy,very bad attitude of cs faculty,-0.5849,Negative,1
Bad experience... 1. In advertising videos teachers used to write on board... but in subscription they are just sharing screens. 2. No proper option for DPP and Practice... In the lecture the teacher used to tell where and on which platform he has shared the DPP... 3. Very bad type schedule and calendar... 4. Many lectures are in the wrong series i.e. lecture. 8 is before lecture 7.,1,PlayStore,Unacademy,bad experience  in advertising videos teachers used to write on board but in subscription they are just sharing screens  no proper option for dpp and practice in the lecture the teacher used to tell where and on which platform he has shared the dpp  very bad type schedule and calendar  many lectures are in the wrong series ie lecture  is before lecture ,-0.7992,Negative,1
profile class duration day to day analysis is not perfect,1,PlayStore,Unacademy,profile class duration day to day analysis is not perfect,-0.4585,Negative,2
"Very bad,Ui is not easy to understand. No option for terminate someone's session",1,PlayStore,Unacademy,very badui is not easy to understand no option for terminate someones session,-0.5583,Negative,4
most worst app used that is unacademy it did not give lecture of all teachers that is written in batch total waste of money when I tried support no to contact after buy batch than no is switched off,4,PlayStore,Unacademy,most worst app used that is unacademy it did not give lecture of all teachers that is written in batch total waste of money when i tried support no to contact after buy batch than no is switched off,-0.8357,Negative,3
Sabse fake app hai aur phone bar bar karte hai paresan kar rakha hai business kar rahe hai education ka,1,PlayStore,Unacademy,sabse fake app hai aur phone bar bar karte hai paresan kar rakha hai business kar rahe hai education ka,-0.4767,Negative,2
"don't use this app and also don't take addmission in unacademy this institute is very bad, so you please don't waste money in this institute like me the teacher is very bad who teach us",1,PlayStore,Unacademy,dont use this app and also dont take addmission in unacademy this institute is very bad so you please dont waste money in this institute like me the teacher is very bad who teach us,-0.2905,Negative,1
Worst Only business No value of student future No value parents hard money,1,PlayStore,Unacademy,worst only business no value of student future no value parents hard money,-0.6249,Negative,3
"After test, its evaluating result for weeks. Watched lectures won't show in history. Many answers are wrong in test of last years. UIATS are also not properly done. Only two settings for video quality. On downloading lectures, the educator is shown in small side and main screen is for slides. Why did I download it if I only wanted slides. Not good app.",1,PlayStore,Unacademy,after test its evaluating result for weeks watched lectures wont show in history many answers are wrong in test of last years uiats are also not properly done only two settings for video quality on downloading lectures the educator is shown in small side and main screen is for slides why did i download it if i only wanted slides not good app,-0.6711,Negative,2
very bad app don't purchase any batch in this app my money was not refunding by the unacademy i have purchased a batch of biology neet guarantee batch2026 on unacademy plateform and classes not running since 1 month and educator had left batch and not completed my syllabus and not given any refund amount,1,PlayStore,Unacademy,very bad app dont purchase any batch in this app my money was not refunding by the unacademy i have purchased a batch of biology neet guarantee batch on unacademy plateform and classes not running since  month and educator had left batch and not completed my syllabus and not given any refund amount,-0.4201,Negative,2
"For me zero star,,, Session start here and there is no computer teacher ,, totally more than one month waste here and even they are not refunding the money by saying that is not our policy. I just want to ask what is your policy to waste our time and money. worst app ever",1,PlayStore,Unacademy,for me zero star session start here and there is no computer teacher  totally more than one month waste here and even they are not refunding the money by saying that is not our policy i just want to ask what is your policy to waste our time and money worst app ever,-0.891,Negative,3
not depending any teachers because of when when which teacher fire out don't know,1,PlayStore,Unacademy,not depending any teachers because of when when which teacher fire out dont know,-0.34,Negative,2
"edit: this new feature of comments not loading itself unless ""load more"" is clicked in the recorded class is the worst feature.... Reverse it... I'm an iconic subscriber, And to search for a test series is a nightmare.... It's been so long since unacademy came into existence and still you didn't fix this. .... there are so many things.....worst app ever.... I'm done with unacademy, I won't renew and prevent others as well from the mistake I made...",1,PlayStore,Unacademy,edit this new feature of comments not loading itself unless load more is clicked in the recorded class is the worst feature reverse it im an iconic subscriber and to search for a test series is a nightmare its been so long since unacademy came into existence and still you didnt fix this  there are so many thingsworst app ever im done with unacademy i wont renew and prevent others as well from the mistake i made,-0.6677,Negative,2
very bad ads. style total bekar tarikha hai ads dene ka,1,PlayStore,Unacademy,very bad ads style total bekar tarikha hai ads dene ka,-0.5849,Negative,2
always crash management worst they do phone calls at night 11pm that too spam calls like 10 to 15 times until we lift it,1,PlayStore,Unacademy,always crash management worst they do phone calls at night pm that too spam calls like  to  times until we lift it,-0.7783,Negative,2
it is not good it is very good,5,PlayStore,Unacademy,it is not good it is very good,-0.5875,Negative,2
worst technology at offline centres,1,PlayStore,Unacademy,worst technology at offline centres,-0.6808,Negative,3
JUST.... INSANE !,5,PlayStore,Unacademy,just insane ,-0.4019,Negative,2
very disappointed with mentor,1,PlayStore,Unacademy,very disappointed with mentor,-0.5256,Negative,2
very bad application 😤,1,PlayStore,Unacademy,very bad application ,-0.5849,Negative,1
totally waste app user experience totally waste of idea are unacademy walo advertisement se jyda app developer pr kharcha kro...,1,PlayStore,Unacademy,totally waste app user experience totally waste of idea are unacademy walo advertisement se jyda app developer pr kharcha kro,-0.734,Negative,2
please don't call again and again after sign in we r disturbed,1,PlayStore,Unacademy,please dont call again and again after sign in we r disturbed,-0.0772,Negative,2
"The Worst Platform, they'll just take your money and then won't care whether your classes are going on or not, whether same faculty will teach as they presented or not throughout the year, they make changes according to themselves as they don't have good bonding with their teachers as well, they bring up some YouTubers like Rakshita Singh for popularity as those teachers have many followers and they don't have much good teachers... So take admission at your own risk⚠️",1,PlayStore,Unacademy,the worst platform theyll just take your money and then wont care whether your classes are going on or not whether same faculty will teach as they presented or not throughout the year they make changes according to themselves as they dont have good bonding with their teachers as well they bring up some youtubers like rakshita singh for popularity as those teachers have many followers and they dont have much good teachers so take admission at your own risk,-0.7131,Negative,2
"(NEED TO WORK MORE ON APP) I've been facing issues with attending live lectures on the app despite having a strong network connection. The video keeps buffering and freezing, which makes it hard to follow along. It's been 4 days since I subscribed to the paid plan, but I haven't been able to attend any LIVE lectures due to this. Another concern is the lack of information about Paper 2's schedule on App when it starts/who are the educators",3,PlayStore,Unacademy,need to work more on app ive been facing issues with attending live lectures on the app despite having a strong network connection the video keeps buffering and freezing which makes it hard to follow along its been  days since i subscribed to the paid plan but i havent been able to attend any live lectures due to this another concern is the lack of information about paper s schedule on app when it startswho are the educators,-0.6371,Negative,2
all scam nothing good or genuine they are only looting money can't provide a single class after payment all fake information on their display,1,PlayStore,Unacademy,all scam nothing good or genuine they are only looting money cant provide a single class after payment all fake information on their display,-0.8484,Negative,2
"They are cheating everyone, their team is also like them, my money is lost, no one else should get trapped, earlier something was said and shown to get the money, then they do whatever they want",1,PlayStore,Unacademy,they are cheating everyone their team is also like them my money is lost no one else should get trapped earlier something was said and shown to get the money then they do whatever they want,-0.8271,Negative,2
"Never ever register your mobile number just to check prices, or course offerings on this app/ website. You will get millions of calls and unwanted DMs all over the place just to frustrate you.",1,PlayStore,Unacademy,never ever register your mobile number just to check prices or course offerings on this app website you will get millions of calls and unwanted dms all over the place just to frustrate you,-0.5574,Negative,2
bad very bad,1,PlayStore,Unacademy,bad very bad,-0.7906,Negative,1
"Not even half an hour I installed the app - could not even go through it - I started getting spam calls!!! 3/4 calls per day - guys, chill out. And after you guys made me uninstall the app out of frustration - again I'm getting calls!!! Get a life! People don't have their entire day to do as you say over the call! They might need some time to settle down after a long day before starting to browse through the app.",1,PlayStore,Unacademy,not even half an hour i installed the app  could not even go through it  i started getting spam calls  calls per day  guys chill out and after you guys made me uninstall the app out of frustration  again im getting calls get a life people dont have their entire day to do as you say over the call they might need some time to settle down after a long day before starting to browse through the app,-0.6808,Negative,2
I tried so much time to login in your app but it can't login it shows my account is deactivated solve this problem,1,PlayStore,Unacademy,i tried so much time to login in your app but it cant login it shows my account is deactivated solve this problem,-0.4566,Negative,2
it is day by day getting bad the app interface has also been degraded now so many glitches and comments option disabled for offline lectures too many ads even if you have a plus subscription they show ads for iconic in between practice test too lecture history have been disabled no tracking of performance and most irritating is that setting up your planner icon every time open the app but whenever it shows it never opens you have to exit clear from recent tab and open it again you have to do it,1,PlayStore,Unacademy,it is day by day getting bad the app interface has also been degraded now so many glitches and comments option disabled for offline lectures too many ads even if you have a plus subscription they show ads for iconic in between practice test too lecture history have been disabled no tracking of performance and most irritating is that setting up your planner icon every time open the app but whenever it shows it never opens you have to exit clear from recent tab and open it again you have to do it,-0.4111,Negative,2
app crashes again and again and it struck alot while watching classes. This is causing alot of time waste . please fix it if possible,2,PlayStore,Unacademy,app crashes again and again and it struck alot while watching classes this is causing alot of time waste  please fix it if possible,-0.3612,Negative,2
"poor test series experience..,it doesn't open on the app..on allotted time and date...and then shows missed it/test cancelled by the educator...no option of re-test/reattempt...",1,PlayStore,Unacademy,poor test series experienceit doesnt open on the appon allotted time and dateand then shows missed ittest cancelled by the educatorno option of retestreattempt,-0.743,Negative,2
video quality is not good and on download video slide are not visible properly and mathematical tools are not visible at all in both live and recorded lecture and team response is not good for these app problems at all so overall experience is not much good!!!!,1,PlayStore,Unacademy,video quality is not good and on download video slide are not visible properly and mathematical tools are not visible at all in both live and recorded lecture and team response is not good for these app problems at all so overall experience is not much good,-0.8367,Negative,2
very unfriendly app. could not join the batch after payment. poor customer care who themselves don't know,1,PlayStore,Unacademy,very unfriendly app could not join the batch after payment poor customer care who themselves dont know,-0.5546,Negative,2
"there may be a bug or error in the app, processing very slow the server is down 👎please fix it",1,PlayStore,Unacademy,there may be a bug or error in the app processing very slow the server is down please fix it,-0.1027,Negative,2
worst decision of my life. unacademy only care about money they snatch money out of your pocket and do nothing. unacademy promise you they will provide you books they also charged for the books but they don't provide you anything. unacademy mentorship program is the worst thing I ever seen in my life.,1,PlayStore,Unacademy,worst decision of my life unacademy only care about money they snatch money out of your pocket and do nothing unacademy promise you they will provide you books they also charged for the books but they dont provide you anything unacademy mentorship program is the worst thing i ever seen in my life,-0.8394,Negative,3
this app has been thrash since the update. Can't even watch the lectures on my cellular data and works only with wifi. Sometimes even with wifi the lectures lag and doesn't show the images in lectures. pls fix the problem asap,1,PlayStore,Unacademy,this app has been thrash since the update cant even watch the lectures on my cellular data and works only with wifi sometimes even with wifi the lectures lag and doesnt show the images in lectures pls fix the problem asap,-0.5859,Negative,2
I don't like....................... ............. ........... ..... ......,1,PlayStore,Unacademy,i dont like    ,-0.2755,Negative,2
bhai sirf piasa khane ke lea baitha hai sab coi teacher dhang kaa nahi hai mera personal experience hai baki kaa aap logo ki marji hai aur ek baar subscription lelea to cancel naho hota mera 1 se 1.5 lacks kha gaya hai sab be careful.,1,PlayStore,Unacademy,bhai sirf piasa khane ke lea baitha hai sab coi teacher dhang kaa nahi hai mera personal experience hai baki kaa aap logo ki marji hai aur ek baar subscription lelea to cancel naho hota mera  se  lacks kha gaya hai sab be careful,-0.1027,Negative,2
doubts solving experience is very bad,1,PlayStore,Unacademy,doubts solving experience is very bad,-0.5563,Negative,1
No discipline teacher talk to their boyfriend in the middle of live class,1,PlayStore,Unacademy,no discipline teacher talk to their boyfriend in the middle of live class,-0.296,Negative,2
