content,score,source,app
best,5,PlayStore,Unacademy
"The best app for JEE preparation I'm writing it one star because of the team which is not responding because of some problems I'm facing.after the classes switched to boards i am not able to live lectures on my iPad,but phone(android) i am able to attend.There's is no problem my end because the device is brand new and my wifi speed is at least more than 30mbps.so please help with this query",1,PlayStore,Unacademy
"worst app ever, subscription ke liye sahi se guide nhi karte , mujhe plus kaa subscription Lena the aur yeh logo ne mujhe normal batch ka subscription dilwa diya ,with same price,ab mai kya karu , mujhe Insaaf chahiye",1,PlayStore,Unacademy
Good application for the students 😃,5,PlayStore,Unacademy
good inner me atmkbfjg🙏🤩🤩👌👌👌,5,PlayStore,Unacademy
"hi , unacademy pls don't spam if I just login on your app. , and follow some corporate ethics and don't disturb aspirants , why do you call me daily",1,PlayStore,Unacademy
Best learning app for upsc exam.,5,PlayStore,Unacademy
good,5,PlayStore,Unacademy
super 🙏🙏🙏,5,PlayStore,Unacademy
very bad app not working on my tablet,1,PlayStore,Unacademy
very good learning aap thanks 👍,5,PlayStore,Unacademy
very rude and irresponsible behaviour of helpline care,1,PlayStore,Unacademy
good,5,PlayStore,Unacademy
Nice Plateform,5,PlayStore,Unacademy
"The tech team should be fired. No doubt, Unacademy has great teachers, but there are tons of tech issues during live classes. Please do not waste your time and money on Unacademy courses. The app is useless. I wish I could rate it even lower. Now I understand why there are so many one-star ratings. All I can say to my juniors is please do not get any kind of subscription from Unacademy ,go for other education apps. I'm 100% sure that every time you open Unacademy, you will find it even worse.",1,PlayStore,Unacademy
🙏,5,PlayStore,Unacademy
yes yes good,5,PlayStore,Unacademy
totally worst experience.....educators are best but the app is worst one they call you constantly to purchase the batch but as soon as you purchase it evn it's not show they just give you one response to wait thn after constant txt from students side they don't reply nor they help what to do now ....,1,PlayStore,Unacademy
why can't I connect to the free classes??,1,PlayStore,Unacademy
I can't connect to 9:05 pm quiz...,1,PlayStore,Unacademy
Best platform to crack exam,5,PlayStore,Unacademy
good platform 👍,5,PlayStore,Unacademy
good 👍🏻,5,PlayStore,Unacademy
waste app 🙄,1,PlayStore,Unacademy
excellent,5,PlayStore,Unacademy
"hello guys if you think this app is so helpful then you are wrong specially I told NDA subscription, there are no any faculty of math,geography etc, and app feature are very bad first of all you have to spend 1 month for Understanding what are going on with you you have to join coursepage and if you don't know how to join corse page then you find where is class guys I told you only that never and never buy the Unacademy subscription",1,PlayStore,Unacademy
Nice,4,PlayStore,Unacademy
"When I had to purchase the class they called me again and again and one of its team members told me that if I would get the subscription of 6 months I would get 3 months extended months along with 6 months and it will be credited after 45 days of purchase. But as I wouldn't get the extended months I called them again, they asked for 24 hours and then blocked my number. They made me wander to the app to email only. The worst service they hold. Poor experience.",1,PlayStore,Unacademy
good classes especially in english,5,PlayStore,Unacademy
excellent n amazing teacher S.G. Sir,5,PlayStore,Unacademy
bad experience,3,PlayStore,Unacademy
it was great 👍🙏👏,5,PlayStore,Unacademy
playstore ko paisa khila ke rakha h app dusra app search kro ye aa jata h,1,PlayStore,Unacademy
good ap,3,PlayStore,Unacademy
bakwas hai,1,PlayStore,Unacademy
apse Acha teacher koi nhi sir thanku 😊 🙏,5,PlayStore,Unacademy
Worst institute ever they lit.changed the best teachers no consistency lack of teachers . 4months left and they lit. Changed the head teacher of our jee section In gwalior center. For them study is just a business,4,PlayStore,Unacademy
I like to use this app as it has good courses and top educators for learning......but after a week or two of using this app it started to be slow and sometimes also use to hang ...which usually wastes my time and it also frustates a lot! So please do something to use this app smoothly,2,PlayStore,Unacademy
for learning,2,PlayStore,Unacademy
it's good,5,PlayStore,Unacademy
the best ias preperation study app,5,PlayStore,Unacademy
best classes,5,PlayStore,Unacademy
nice app 😍😍🥰😍😍🥰🥰🥰,4,PlayStore,Unacademy
very useful for better study 📝🗒️📈,3,PlayStore,Unacademy
Good,5,PlayStore,Unacademy
to good,5,PlayStore,Unacademy
GOATED,5,PlayStore,Unacademy
nice,5,PlayStore,Unacademy
all teachers are mind-blowing,4,PlayStore,Unacademy
worst part of this app is they are calling continuously for their offers.. how can any one use their free access with this type of inconvenience.. so disturbing,1,PlayStore,Unacademy
quality of Educators,5,PlayStore,Unacademy
very good learning platform,5,PlayStore,Unacademy
Worst application ever. Paid marketing karte hai for views and subscription.,1,PlayStore,Unacademy
good,4,PlayStore,Unacademy
east or west PW is the best!,1,PlayStore,Unacademy
best online learning Application for judiciary. N number of educators give you liberty of learning from the best one And for me best is one and only VISHAL SINGH THAKUR SIR . BEST APPLICATION AND BEST EDUCATOR,5,PlayStore,Unacademy
बिलकुल बेकार 😔app है...,1,PlayStore,Unacademy
Updated version is not working properly.....whole day I tried to open it but I couldn't. year 2022 now it is very good 2025,4,PlayStore,Unacademy
Unacademy is an amazing learning platform with wide range of educators. Vishal sir/ our bhaiya is the best educator not just at unacademy but in the entire legal fraternity. The excellent teacher for all the subjects. I have personally grown under the guidance of Vishal sir. Thank you bhaiya for your unwavering efforts.,5,PlayStore,Unacademy
some classes are not showing still classes problem study is not going on properly do something,2,PlayStore,Unacademy
best learning app,4,PlayStore,Unacademy
they're calling me again again and I unsubscribed from them still now they're calling me again again don't do this it irritating me don't u have any common sense at all don't repeat this again,1,PlayStore,Unacademy
maja nahi aata is app mai study mai bhi koi khas helpfull nahi hai isiliye mai dusri coching sai online course lekar study karata hu,1,PlayStore,Unacademy
unnecessary call always,1,PlayStore,Unacademy
great experience in this app 😍😍,5,PlayStore,Unacademy
This is very good online education platform of India,5,PlayStore,Unacademy
this app sucks pls dont downlonad it they will constantly harass you by callimg 10 to 15 times in a day and tell you to buy their course,1,PlayStore,Unacademy
didn't access the previous courses . validity still to the next year 2026,1,PlayStore,Unacademy
my first attempt I am best I can do it next attempt,5,PlayStore,Unacademy
very good educators,5,PlayStore,Unacademy
"enrolled for UPSC batch, the mobile application is very bad. it has lot of technical glitches. also if you complaint about the same to the technical staff at the center they act very unresponsive. They have no accountability towards solving your problems. They just ignore you or behave weirdly whenever you tell them about the issue.",1,PlayStore,Unacademy
best platform for study 😁,5,PlayStore,Unacademy
excellent 👍,5,PlayStore,Unacademy
quality education provided in this platform,4,PlayStore,Unacademy
they fooled me their marketing person fooled me took money and now not responding written n number of emails to unacademy they are also not responding no they have not given any proper response only same response don't fool around,1,PlayStore,Unacademy
good aap solve eran,5,PlayStore,Unacademy
worst education app in india.....I purchased guarantee batch for neet 2026... but the batch is discontinued.....and our money is not refunded till now.....I suggest..... don't go with academy...,1,PlayStore,Unacademy
I feel cheated. The Iconic pack which I purchased at 12.5k is actually offering only 8.5k. Fees should be same for all students at all times Iconic pack is useless. some teachers teach irregular topic.,1,PlayStore,Unacademy
very very porr aap,1,PlayStore,Unacademy
"The educators are very good but the app is very slow ,and the people of unacademy call us at the time of subscription after that they forgot to call you back when you need their help for educators only i give 3 stars",3,PlayStore,Unacademy
"when I login with my phone number, continue they are calling. please do not call again and again . it makes someone irritative and creates distrubance . I got moral that you should not give ur mobile number to any education application continue calls I'm receiving from morning I request to stop calls else I will block every unknown calls. it is making me more irritative",1,PlayStore,Unacademy
bakar institute hai sab say mai unacademy koy in kai institute say nai padha,1,PlayStore,Unacademy
"It is very good learning platform and their teachers are literally wow. They teach in a very clear and simple way even though hard and difficult chapters are become so easy and the best part is all teachers took doubt class , discussion class, practice class , extra class infact pajama class. It is just an amazing app . Thanks unacademy for making learning so easy",5,PlayStore,Unacademy
yes ups,5,PlayStore,Unacademy
nice experience,5,PlayStore,Unacademy
good experience,5,PlayStore,Unacademy
good app,5,PlayStore,Unacademy
Best learning app in India with best educators.,5,PlayStore,Unacademy
"it is always hindi we students as a non-hindi speakers can't understand anything. if there is a topic in need and it is in hindi ,i can't find a english version .",1,PlayStore,Unacademy
This is the worst app I have ever seen,1,PlayStore,Unacademy
gooodx,5,PlayStore,Unacademy
"it is the best online portal to learn any couse provided by the Unacademy's faculty..... if you desire to achieve success in competitive exams, you should join and feel the difference.",5,PlayStore,Unacademy
good,5,PlayStore,Unacademy
On this platform.. I have experience of 4 yrs.. and trust me it the best in my view.. This is not a platform ... it has became an emotion for me.. it transformed me from an average to topper... it helped to find my potential... what I say about the teachers they are the true mentors.. not only online now I am pursuing unacademy offline.. and trust me.. it feels like heaven if u are reading it.. I would suggest to once try it..,5,PlayStore,Unacademy
no class regularly educator have server issue in every week 1)syllabus is to much slow prompting batches and marjing in new batch and revising again and again please fix these worst problem #please surve justice 2)taking classes in smart board is laging in every second,1,PlayStore,Unacademy
Please bring back all removed educators back mainly CA Bahubali team as I and my many friends have subscribed because of their teaching style and we are fan of those teachers if not refund our subscription money,5,PlayStore,Unacademy
can't even find proper notes and dpp,3,PlayStore,Unacademy
"Worst app . Worst Customer support. lackadaisical attitude of customer service . When a student going to pay money for batch , then are always there. but after the purchase, if you face any problem, you will not be entertained by them. They started giving baseless excuse. waste of money",1,PlayStore,Unacademy
teachers are very Good and plus platform is like personal tuition.,5,PlayStore,Unacademy
"I'm extremely disappointed with this app. They keep calling again and again, even after I clearly told them not to. Despite requesting multiple times to stop the calls, they continued. And the worst part? When I asked them firmly to stop, they blocked my ID without any explanation or warning. This is highly unprofessional. Not recommended at all. Please think twice before signing up.",1,PlayStore,Unacademy
In kota centre they not provide the elp of class 11th...and every teacher give the home work..... and I m very disappointed to see this type of service of Unacademy..... staff says printing of elp is processing.....no one tell the fix date of elp...... and I m learner of Unacademy.... and same issue with Unacademy t shirt...... plz no one join the Unacademy. ...,1,PlayStore,Unacademy
"I am extremely disappointed with Unacademy's approach towards user engagement. I downloaded and explored the app just once out of curiosity. Ever since then, I’ve been getting continuous calls from different numbers, all trying to convince me to purchase a subscription. Despite clearly telling them that I’m not interested, the calls keep coming almost daily — and not just one or two, but from multiple numbers.",1,PlayStore,Unacademy
"it's just awesome all lectures are on time best study material provided by it ,in short best platform to study",5,PlayStore,Unacademy
tell me pls this app teacher or pw teacher which is more good,5,PlayStore,Unacademy
ek baar login karo bas uske call pick karte raho,1,PlayStore,Unacademy
this learning platform is not good because the teachers does not teach the topic properly and the teachers teach the random chapter and chapters they won't even do,1,PlayStore,Unacademy
this app helps alot to me thanks to the unacademy teachers ....,5,PlayStore,Unacademy
guys please mat jana kbhi bhi yaha neet ya jee ke preparation ke inka app itna bekaar he na video quality na sound quality itna jyada bekaar jaa kar pachta rhi hu me bhopal ka toh aur bhi bekaar hi he me baaki logon nhi nhi fasne dena chahti hu,1,PlayStore,Unacademy
good learning experience,4,PlayStore,Unacademy
I had an amazing experience and it helped me improve immensely. Success academy provided me with the required guidance and support to get the desired score in exams.The classes are highly interactive and help one build self confidence.The academy gave personal attention to everyone which served as a major factor clearly doubts and everything.All the teachers are very supportive and clears all the doubts on the very same day .Even they kept pushing me to reach my full potential.,5,PlayStore,Unacademy
nice appp💖,5,PlayStore,Unacademy
Best app to education,5,PlayStore,Unacademy
hafsa maam is amazing educator she teach from zero to heri loved it ❤️,2,PlayStore,Unacademy
delivery time is slow,1,PlayStore,Unacademy
nice experience,5,PlayStore,Unacademy
This app is literally soo .... irritating I downloaded this app and added my details ( phone no ) and I think that was my worst mistake they literally called me at least 2-3 times a day and honestly for a aspirant it's really so disturbing that I can't tell you . Sometimes I genuinely felt destroying my phone sim card . I request with your team that please stop calling the same students 100 times if he/she is not responding and blocking the numbers it's a humble request from my side.,1,PlayStore,Unacademy
"Unacademy has become a mess. Classes vanishes from the planner, tests have wrong answers and there are no Organic Chemistry classes in the Nimbus NEET UG batch. The new smart board system lags constantly. The app keeps removing useful features with each update. Many basic feature just don’t work. Customer care is a nightmare. Honestly, only the educators make this app tolerable. Without them, the subscription wouldn't be worth a rupee.",1,PlayStore,Unacademy
ghatiya,1,PlayStore,Unacademy
App taking too much time for open .,1,PlayStore,Unacademy
"bad experience, price of batches is high then other platform.",1,PlayStore,Unacademy
I don't have any issue in learning .5 star rating Learning wise but using app for live classes cause overheating even in new device .,2,PlayStore,Unacademy
nice,5,PlayStore,Unacademy
I have used many app and this is one of the best and its a good platform for learning,5,PlayStore,Unacademy
nice,5,PlayStore,Unacademy
Best app for learning,5,PlayStore,Unacademy
nice,5,PlayStore,Unacademy
nice,5,PlayStore,Unacademy
bakwaas hai class ki.pdf kabhi rahti hi nhi hai,2,PlayStore,Unacademy
excellent platform for them who wants to achieve the desired goal,5,PlayStore,Unacademy
it was really good as i expected,5,PlayStore,Unacademy
"It's everything every study materials are best i have ever seen unacademy's all teachers are best and specially it's notes WOW are best notes♥️Love You Unacademy and all Faculties.This is the best app to crack Every competitive exams ( IIT, Jee mains+Advance,NEET). Let's crack it.",5,PlayStore,Unacademy
my is very good .such a right decision to choose unacademy,4,PlayStore,Unacademy
"Having worst experience with unacademy.. For IIT JEE coaching, first advertisement told that only Rs. 5000 needed for subscription. After that it has asked Rs. 25000. But even after subscribing with Rs. 25000, I have been waiting without any batches to join classes.. Only few hindi classes are going.. but the student wants only English medium as he don't know hindi.. There is necessary support to ask when we will get our classes to join.. Even worst that we could not cancel the subscribtion.",1,PlayStore,Unacademy
worst app,1,PlayStore,Unacademy
"Don't waste your money here, just average content, easily found on YouTube (and maybe on telegram if you are good at searching). Note : I have taken the bank exams subscription.",2,PlayStore,Unacademy
it is really very benefited,5,PlayStore,Unacademy
amazing platform for neet aspirations,5,PlayStore,Unacademy
sometimes it's not open please fix it,1,PlayStore,Unacademy
"I am preparing for iit jee 2026, since i am enrolled in an offline coaching but still unacademy is best in some ways I have never experienced this quality of education on any other online platform, I am very glourious about unacademy, I would suerly prefer to join unacademy for your preparation, and also unacademy consistently tries to improve the student and make them standing on the gates of iit's and nit's. so unacademy thank you, and the last thing,Har 'W' ke niche 10 crore rupay nahi hote.",5,PlayStore,Unacademy
👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻 better,5,PlayStore,Unacademy
all is good on unacademy....and their teachers 💕🌸,5,PlayStore,Unacademy
excellent,5,PlayStore,Unacademy
Amazing sir before watching this i had lots of Questions related to CS now i fillings better,5,PlayStore,Unacademy
"The course is good but the app is very bad, full of glitches. it takes too long to open.. please improve the app.",1,PlayStore,Unacademy
this is nice 👍🙂 I am weak in many subjects it's help to improve,5,PlayStore,Unacademy
☺☺,5,PlayStore,Unacademy
good,5,PlayStore,Unacademy
most fraud institute they are play education nd they does npt provide refund policy,1,PlayStore,Unacademy
Great application for knowledge and experience Very good teachers and very good atmosphere of education,1,PlayStore,Unacademy
a extremely good app. but the video lags a lot ahd get stucked when the educator takes class on smart board. i dont know why but only the video stucks on when the class is taken on smartboard which somehow ruin the full day. please continue on pen tab only,3,PlayStore,Unacademy
"These app is very bad. In downloaded lecture I can't able to shape writting which are written by tools. Here teachers say ""if any student study from ppt then he/she can't able to feel the topic and all the concept will be forgotten with some days"" but the support the teaching way where teacher are sit on a chair and then write on tab and students will see the teachers in a very small frame(it is so problematic for phone using students). PW produce better results in online but they told opposite.",1,PlayStore,Unacademy
the reason is teaching and main reason is dhariya sandhyana mam,5,PlayStore,Unacademy
very bad offline,1,PlayStore,Unacademy
helpful,4,PlayStore,Unacademy
Good aaap,5,PlayStore,Unacademy
इंडिया का सबसे गंदा प्लेटफार्म नजर आता है ये अगर कोई स्टूडेंट्स डाउनलोड कर लेता है तो उसको बार बार इतनी कॉल की जाती है जिससे वो इतना परेशान हो जाए कि जैसे उसको खुद में एक गिल्टी पर्सन लगने लगे एजेंट्स जिसको कोर्स लेना होता है वो अपने आप ले लेगा ये कोई तरीका है बार बार कॉल करने का। मैंने हमेशा के लिए अनइंस्टॉल कर दिया है आप लोग भी न ही करे डाउनलोड,1,PlayStore,Unacademy
So many spamm call continoudly after login,1,PlayStore,Unacademy
Teachers are good but management is so bad,1,PlayStore,Unacademy
very nice app,5,PlayStore,Unacademy
🤙,4,PlayStore,Unacademy
"The Unacademy gives the top level content from the country's top educators... There isn't any timepass (Shayari) like some edtech brands like ""Chemistry Walla""",5,PlayStore,Unacademy
CSG FAMILY SO AWESOME 🥰,5,PlayStore,Unacademy
Unacademy is very good and a better app. Here you can study from top educators and here your doubts are cleared 24×7 hours. It is also good for JEE and NEET Exams,5,PlayStore,Unacademy
best,5,PlayStore,Unacademy
offline educator are really good,4,PlayStore,Unacademy
stop calling scammers,1,PlayStore,Unacademy
Thanks Unacademy,5,PlayStore,Unacademy
this is the most wonderful experience in my life,5,PlayStore,Unacademy
bakwaas aap hai yee please stop calling us thousand times even though we block your numbers please stop calling uss unnecessarily 🙏,1,PlayStore,Unacademy
class recording are way too bad on mobiles,1,PlayStore,Unacademy
worst edtech platformm...i am a neet aspirant before taking iconic batch they promise me every offline batch recording will be available ...but they are not providing any and my 15000 money seems to be completely goes in vein....,1,PlayStore,Unacademy
this app is very best,5,PlayStore,Unacademy
great,5,PlayStore,Unacademy
"Average 👍 Madhukar kotwe is the best educator for hindi medium & he is all rounder general studies classes & CSAT class available.mentorship program is very very helpful for UPSC aspirants, & best mentor is Jyoti null 😊",3,PlayStore,Unacademy
"You will go for admission, then they will talk nicely to you, motivate you a lot and will make you deposit the entire money, after that you will be trapped and after that you will not be able to cancel the admission They will say go to App and generate ticket, after that your ticket will be generated, then they will tell you further how to do it, I tried everything but no ticket is generated That means your money is completely wasted. Whatever they say before taking admission, they are all lies.",1,PlayStore,Unacademy
very nice,5,PlayStore,Unacademy
the teachers are very good at u online and kota also,5,PlayStore,Unacademy
good,5,PlayStore,Unacademy
is very nice,5,PlayStore,Unacademy
"VERY BAD APP EXPERIENCE!! THE APP DOESN'T WORK PROPERLY!! For eg,If I open this app 10 times then out 10 times there is a rare chance that 1 time it will work properly other wise all 9 times and usually 10 times all it doesn't work properly. It hangs while running. It closes automatically. Usually I doesn't opens also. OVERALL, It requires very much work to be done on it. The Company Should see into this matter for learners/Customers better experience atleast more than a worst experience .",1,PlayStore,Unacademy
what a bad experience,1,PlayStore,Unacademy
DEMO VIDEO DEKHO,5,PlayStore,Unacademy
sir i face lot of pblm on smart board pls switch it on pen tab 🙏 😬 😢,1,PlayStore,Unacademy
excellent,5,PlayStore,Unacademy
great app but some subject teacher are not available,5,PlayStore,Unacademy
wonderful app,5,PlayStore,Unacademy
very awesome 😎👍 study best plate form for neet,5,PlayStore,Unacademy
happy,5,PlayStore,Unacademy
spam calls too many absolutely don't give your number,1,PlayStore,Unacademy
good,1,PlayStore,Unacademy
good,4,PlayStore,Unacademy
good enough,5,PlayStore,Unacademy
Great 👌👌,5,PlayStore,Unacademy
good,3,PlayStore,Unacademy
mondal sir ki wajah se 5 star de rha hoon,5,PlayStore,Unacademy
not such useful app,1,PlayStore,Unacademy
amazing 😍,5,PlayStore,Unacademy
playspeed button disappear my downloads video not works properly. even the video is so confusing coz everything is write on just one place. i hate it . please please fix this promblem,2,PlayStore,Unacademy
my experience so far has been wonderful with this academy,5,PlayStore,Unacademy
you must increase your class length specially educators and make it compulsory that before 1h 30min none of educators can end class rest every thing is best,5,PlayStore,Unacademy
Tq very best app,5,PlayStore,Unacademy
"worst app,, it takes too much time to open,sometimes about an hour I had purchased a course of 17000 but not able to study even 17 minutes, but I take lecture of same faculty on youtube conveniently.",1,PlayStore,Unacademy
fraud never purchase again,1,PlayStore,Unacademy
I do not know whether it is your new update or a glitch. I am not happy with it. I am not able to download the previous lecture and because of this I am facing problem in attending the class. If it is not downloadable then why is an option given? fix it asap,1,PlayStore,Unacademy
good academic platform,5,PlayStore,Unacademy
nice learning app for UPSC,5,PlayStore,Unacademy
this app is getting worse day by day i am a plus student phoenix 2.0 and it doesn't show me the planner+help and support section and i am not getting anything very least features they all lied u took the yt classes on smart board so that students should purchase ur batch but on platform we get that tab screen instead of a board but i managed that but where is my planner study material and tests,1,PlayStore,Unacademy
this classes are useless.they are fake,1,PlayStore,Unacademy
disgusting app. difficult to use,1,PlayStore,Unacademy
best learning app India's top best educator,4,PlayStore,Unacademy
"very poor service,no learners support only AI , they only help you in buying subscription and call you unnecessary 100 times but not a single one for solving queries",1,PlayStore,Unacademy
"call support very much bad 😭, too bad app ,my money is waste since ye apni galti mante nhi hai sari classes time se pehle hi uda dete hai",1,PlayStore,Unacademy
Unacademy is such a platform for any competitive examination where the students studying there get selected,5,PlayStore,Unacademy
best for study,5,PlayStore,Unacademy
best,5,PlayStore,Unacademy
very bad attitude of cs faculty,1,PlayStore,Unacademy
Bad experience... 1. In advertising videos teachers used to write on board... but in subscription they are just sharing screens. 2. No proper option for DPP and Practice... In the lecture the teacher used to tell where and on which platform he has shared the DPP... 3. Very bad type schedule and calendar... 4. Many lectures are in the wrong series i.e. lecture. 8 is before lecture 7.,1,PlayStore,Unacademy
thanks to uncademy,5,PlayStore,Unacademy
profile class duration day to day analysis is not perfect,1,PlayStore,Unacademy
"Very bad,Ui is not easy to understand. No option for terminate someone's session",1,PlayStore,Unacademy
This app is very nice,5,PlayStore,Unacademy
best learning platform,5,PlayStore,Unacademy
unacademy❌ uninstall academy☑️.,1,PlayStore,Unacademy
Bakvas,1,PlayStore,Unacademy
most worst app used that is unacademy it did not give lecture of all teachers that is written in batch total waste of money when I tried support no to contact after buy batch than no is switched off,4,PlayStore,Unacademy
Best teacher in all subjects..,5,PlayStore,Unacademy
Sabse fake app hai aur phone bar bar karte hai paresan kar rakha hai business kar rahe hai education ka,1,PlayStore,Unacademy
phenomenal.,5,PlayStore,Unacademy
why did u guys disabled chats in recording session....chats are useful to see the questions of students in class....and also chats are sometimes does not let us bore in the class ....reverse this feature ASAP.....,1,PlayStore,Unacademy
most underrated coaching for UPSC CSE,5,PlayStore,Unacademy
❤️❤️❤️❤️,4,PlayStore,Unacademy
good,5,PlayStore,Unacademy
I have secured rank 3 in your test and it was mentioned that I will get rewards after the exam basis on the rank But I didnot get anything instead of getting rank 3 why? okay I understand but atleast you can give a certificate okay okay🥺 now listen tell me a way to give test in unacademy class 8 and win exiting rewards I want to do it and want to see happiness in my family member's face I dont want any rewards I am not selfish but you can give atleast a certificate pls🥺dont mind,4,PlayStore,Unacademy
"better understanding of the student's problems related to preparation and help in tackle it - thankyou ☺️ so much unacademy officials and all members and my tutor, also I am so grateful to you 🙏",5,PlayStore,Unacademy
"don't use this app and also don't take addmission in unacademy this institute is very bad, so you please don't waste money in this institute like me the teacher is very bad who teach us",1,PlayStore,Unacademy
thankyou,5,PlayStore,Unacademy
nice app for preparation,5,PlayStore,Unacademy
"There is no support from unacademy. they promise anything to us for there referral rewards and they do not perform there promise and thrn for six months, they do not see your email, do not contact you, cut your call. np email responses. they will say we will do something but they won't do. I kindly inform you that before replying, do check your mail section and do check your chat section. from january, I am asking for help. No response from yourside. If I could rate in minus,I would have done",1,PlayStore,Unacademy
best doubt solve facility,5,PlayStore,Unacademy
Worst Only business No value of student future No value parents hard money,1,PlayStore,Unacademy
"After test, its evaluating result for weeks. Watched lectures won't show in history. Many answers are wrong in test of last years. UIATS are also not properly done. Only two settings for video quality. On downloading lectures, the educator is shown in small side and main screen is for slides. Why did I download it if I only wanted slides. Not good app.",1,PlayStore,Unacademy
very bad app don't purchase any batch in this app my money was not refunding by the unacademy i have purchased a batch of biology neet guarantee batch2026 on unacademy plateform and classes not running since 1 month and educator had left batch and not completed my syllabus and not given any refund amount,1,PlayStore,Unacademy
"For me zero star,,, Session start here and there is no computer teacher ,, totally more than one month waste here and even they are not refunding the money by saying that is not our policy. I just want to ask what is your policy to waste our time and money. worst app ever",1,PlayStore,Unacademy
good,3,PlayStore,Unacademy
💯👍,3,PlayStore,Unacademy
Unacademy Centre was so advance,5,PlayStore,Unacademy
very good platform i suggest everyone to join for test,5,PlayStore,Unacademy
this is very best app,4,PlayStore,Unacademy
Great educators but just improve on the learner support and app interface.,4,PlayStore,Unacademy
good,5,PlayStore,Unacademy
very very helpful app for aspirant,1,PlayStore,Unacademy
not depending any teachers because of when when which teacher fire out don't know,1,PlayStore,Unacademy
"edit: this new feature of comments not loading itself unless ""load more"" is clicked in the recorded class is the worst feature.... Reverse it... I'm an iconic subscriber, And to search for a test series is a nightmare.... It's been so long since unacademy came into existence and still you didn't fix this. .... there are so many things.....worst app ever.... I'm done with unacademy, I won't renew and prevent others as well from the mistake I made...",1,PlayStore,Unacademy
"Review: Poor Support After Subscription – Disappointed with Unacademy I had high expectations from Unacademy, especially after seeing how proactive and helpful their team was before I purchased a subscription. Unfortunately, my experience changed drastically after subscribing. Once I paid, the level of support dropped significantly. The responsiveness I saw before was gone — queries were either ignored",1,PlayStore,Unacademy
good,5,PlayStore,Unacademy
it's one of the best learning platform it's user friendly and if u r self motivated than I recommend to start using it for a quality education,5,PlayStore,Unacademy
very bad ads. style total bekar tarikha hai ads dene ka,1,PlayStore,Unacademy
SUPER 💯,5,PlayStore,Unacademy
good,3,PlayStore,Unacademy
always crash management worst they do phone calls at night 11pm that too spam calls like 10 to 15 times until we lift it,1,PlayStore,Unacademy
"The app is very good and very user friendly but I have one suggestion.Can you please do about the video quality to enable 240p,360p... please unacademy , because there are students like me who don't have wifi who use our internet data and by the time we finish one lecture our internet data is drained out . Please Unacademy if you agree set this feature in the app 🙏🏼",4,PlayStore,Unacademy
